,title,platform,datetime,critic_score,critic_score_text,url,comments,upvotes,img
702,Semblance Review,NS,"Sunday, Jul 22, 2018 5:39pm",7,Good,https://www.gamespot.com/reviews/semblance-review/1900-6416945/,1,8,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3416938-reviews_semblance.jpg
703,Mothergunship Review: Bullet-Hell Extravaganza,"PS4, XONE, PC","Monday, Jul 16, 2018 10:58pm",8,Great,https://www.gamespot.com/reviews/mothergunship-review-bullet-hell-extravaganza/1900-6416943/,15,44,https://www.gamespot.com/a/uploads/screen_petite/1579/15792183/3414039-mothergunship-review-thumb-nologo.jpg
704,20XX Review - Robot Generation,NS,"Monday, Jul 16, 2018 9:43am",7,Good,https://www.gamespot.com/reviews/20xx-review-robot-generation/1900-6416944/,7,8,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3414120-20xx-review-thumb-nologo.jpg
705,Fighting EX Layer Review: One-On-One Fun,PS4,"Friday, Jul 13, 2018 11:01am",8,Great,https://www.gamespot.com/reviews/fighting-ex-layer-review-one-on-one-fun/1900-6416942/,26,32,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3413349-fighting-layer-ex-review-thumb-nologo.jpg
706,Captain Toad: Treasure Tracker Nintendo Switch Review: Time For Adventure,NS,"Thursday, Jul 12, 2018 3:55pm",8,Great,https://www.gamespot.com/reviews/captain-toad-treasure-tracker-nintendo-switch-revi/1900-6416940/,14,35,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3412375-captain-toad-treasure-tracker-thumb-nologo.jpg
707,Sonic Mania Plus Review - Encore! Encore!,PS4,"Tuesday, Jul 10, 2018 9:55am",9,Superb,https://www.gamespot.com/reviews/sonic-mania-plus-review-encore-encore/1900-6416729/,300,224,https://www.gamespot.com/a/uploads/screen_petite/1552/15524586/3273011-sonic-mania-review-thumb-nologo.jpg
708,Rainbow Skies Review: Rainbow in the Dark,"PS3, VITA, PS4","Saturday, Jul 7, 2018 4:18pm",5,Mediocre,https://www.gamespot.com/reviews/rainbow-skies-review-rainbow-in-the-dark/1900-6416939/,13,9,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3410734-rainbow_cover.jpg
709,The Crew 2 Review - On The Road Again,PS4,"Wednesday, Jul 4, 2018 9:17pm",8,Great,https://www.gamespot.com/reviews/the-crew-2-review-on-the-road-again/1900-6416936/,127,102,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3407256-thecrew2-reviewinprogress-promo-nologo.jpg
710,Wolfenstein 2: The New Colossus Nintendo Switch Review,NS,"Thursday, Jun 28, 2018 4:53pm",8,Great,https://www.gamespot.com/reviews/wolfenstein-2-the-new-colossus-nintendo-switch-rev/1900-6416938/,47,49,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3407878-wolfenstein-ii-the-new-colossus-switch-review-thumb-nologo.jpg
711,Wreckfest Review: Crashing The Party,PC,"Thursday, Jun 28, 2018 4:00pm",9,Superb,https://www.gamespot.com/reviews/wreckfest-review-crashing-the-party/1900-6416935/,31,109,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3406736-wreckfest-review-promo-nologo.jpg
