title,reviewer,current_review_url,info_url
Goblin Commander: Unleash the Horde Review,Bob Colayco,https://www.gamespot.com/reviews/goblin-commander-unleash-the-horde-review/1900-6085350/,https://www.gamespot.com/games/goblin-commander-unleash-the-horde/
Desert Thunder Review,Gord Goble,https://www.gamespot.com/reviews/desert-thunder-review/1900-6085120/,https://www.gamespot.com/games/desert-thunder/
Virtua Tennis Review,Ryan Davis,https://www.gamespot.com/reviews/virtua-tennis-review/1900-6085349/,https://www.gamespot.com/games/virtua-tennis/
Mission: Impossible: Operation Surma Review,Brad Shoemaker,https://www.gamespot.com/reviews/mission-impossible-operation-surma-review/1900-6085307/,https://www.gamespot.com/games/mission-impossible-operation-surma/
Mission: Impossible: Operation Surma Review,Brad Shoemaker,https://www.gamespot.com/reviews/mission-impossible-operation-surma-review/1900-6085309/,https://www.gamespot.com/games/mission-impossible-operation-surma/
Magic: The Gathering - Battlegrounds Review,Jeff Gerstmann,https://www.gamespot.com/reviews/magic-the-gathering-battlegrounds-review/1900-6085310/,https://www.gamespot.com/games/magic-the-gathering-battlegrounds/
R: Racing Evolution Review,Jeff Gerstmann,https://www.gamespot.com/reviews/r-racing-evolution-review/1900-6085315/,https://www.gamespot.com/games/r-racing-evolution/
R: Racing Evolution Review,Jeff Gerstmann,https://www.gamespot.com/reviews/r-racing-evolution-review/1900-6085319/,https://www.gamespot.com/games/r-racing-evolution/
R: Racing Evolution Review,Jeff Gerstmann,https://www.gamespot.com/reviews/r-racing-evolution-review/1900-6085325/,https://www.gamespot.com/games/r-racing-evolution/
The Lord of the Rings: The Return of the King Review,Frank Provo,https://www.gamespot.com/reviews/the-lord-of-the-rings-the-return-of-the-king-revie/1900-6085296/,https://www.gamespot.com/games/the-lord-of-the-rings-the-return-of-the-king/
Silent Hill 3 Review,Scott Osborne,https://www.gamespot.com/reviews/silent-hill-3-review/1900-6085269/,https://www.gamespot.com/games/silent-hill-3/
Prince of Persia: The Sands of Time Review,Greg Kasavin,https://www.gamespot.com/reviews/prince-of-persia-the-sands-of-time-review/1900-6081686/,https://www.gamespot.com/games/prince-of-persia-the-sands-of-time/
Prince of Persia: The Sands of Time Review,Greg Kasavin,https://www.gamespot.com/reviews/prince-of-persia-the-sands-of-time-review/1900-6081685/,https://www.gamespot.com/games/prince-of-persia-the-sands-of-time/
Prince of Persia: The Sands of Time Review,Greg Kasavin,https://www.gamespot.com/reviews/prince-of-persia-the-sands-of-time-review/1900-6081687/,https://www.gamespot.com/games/prince-of-persia-the-sands-of-time/
Kya: Dark Lineage Review,Ryan Davis,https://www.gamespot.com/reviews/kya-dark-lineage-review/1900-6085218/,https://www.gamespot.com/games/kya-dark-lineage/
Wildlife Park Review,Jason Ocampo,https://www.gamespot.com/reviews/wildlife-park-review/1900-6085217/,https://www.gamespot.com/games/wildlife-park/
The Haunted Mansion Review,Tim Tracy,https://www.gamespot.com/reviews/the-haunted-mansion-review/1900-6085193/,https://www.gamespot.com/games/disneys-the-haunted-mansion/
Neverwinter Nights: Hordes of the Underdark Review,Andrew Park,https://www.gamespot.com/reviews/neverwinter-nights-hordes-of-the-underdark-review/1900-6085189/,https://www.gamespot.com/games/neverwinter-nights/
Gotcha Force Review,Alex Navarro,https://www.gamespot.com/reviews/gotcha-force-review/1900-6085141/,https://www.gamespot.com/games/gotcha-force/
Armed and Dangerous Review,Jeff Gerstmann,https://www.gamespot.com/reviews/armed-and-dangerous-review/1900-6085133/,https://www.gamespot.com/games/armed-and-dangerous/
Lowrider Review,Ryan Davis,https://www.gamespot.com/reviews/lowrider-review/1900-6085135/,https://www.gamespot.com/games/lowrider/
Dead to Rights Review,Greg Kasavin,https://www.gamespot.com/reviews/dead-to-rights-review/1900-6084572/,https://www.gamespot.com/games/dead-to-rights/
