url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/world-of-van-helsing-deathtrap/,World of Van Helsing: Deathtrap,"Feb 4, 2015","Macintosh, PC, PlayStation 4, Xbox One","Deathtrap is a unique mixture of action-RPGs and Tower Defense games, a game of vicious tricks, killing machines, rotating blades and splattering blood.",NeocoreGames,NeocoreGames,Strategy,Teen
https://www.gamespot.com/games/code-name-steam/,Code Name: S.T.E.A.M.,"Mar 13, 2015",3DS,Code Name: S.T.E.A.M is a turn-based strategy game from a third-person shooter point of view.,Intelligent Systems,Nintendo,"Strategy, Turn-Based",Teen
https://www.gamespot.com/games/shelter-2/,Shelter 2,"Mar 9, 2015","Linux, Macintosh, Nintendo Switch, PC",Shelter 2 is a spiritual sequel to their artistic adventure game Shelter where players are put in the role of a lone lynx mother in a vast open world.,Might and Delight,Might and Delight,Simulation,
https://www.gamespot.com/games/hotline-miami-2-wrong-number/,Hotline Miami 2: Wrong Number,"Mar 10, 2015","Android, Linux, Macintosh, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Stadia","A brutal conclusion to the gruesome saga, Hotline Miami 2: Wrong Number follows the escalating level of violence through multiple factions born from the events of the original game and driven by uncertain motivations.","Devolver Digital, Dennaton","Devolver Digital, SCEI","Action, Adventure",Mature
https://www.gamespot.com/games/resident-evil-revelations-2/,Resident Evil: Revelations 2,"Mar 17, 2015","Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One","Resident Evil Revelations 2 brings the terror to a new setting for PlayStation 4, PlayStation 3, Xbox 360, Xbox One, and PC.","Capcom, Frima Studio","Capcom, SCEE, SCEA","Action, Adventure, Survival, 3D",Mature
https://www.gamespot.com/games/homeworld-remastered-collection/,Homeworld Remastered Collection,"Feb 25, 2015","Macintosh, PC",Homeworld Remastered Collection is an ultra high-definition remastering of the acclaimed strategy series.,"Aspyr, Gearbox Software","Aspyr, Gearbox Publishing",Compilation,Everyone 10+
https://www.gamespot.com/games/ori-and-the-blind-forest/,Ori and the Blind Forest,"Mar 11, 2015","Nintendo Switch, PC, Xbox One","Ori and the Blind Forest is a bit of a genremix of strong platforming and light RPG elements, all set within an atmospheric world.",Mon Studios,"Xbox Game Studios, iam8bit, Fangamer, Microsoft Game Studios","Platformer, Action, Metroidvania",Everyone
https://www.gamespot.com/games/there-came-an-echo/,There Came an Echo,"Feb 24, 2015","PC, PlayStation 4, Xbox One","Developed for release on the Steam, Xbox One, and PS4 platforms. The player can use an innovative voice control system to direct their units around the battlefield to ensure a tactical advantage over the enemy. The game features a AAA voice cast, led by Star Trek regular Wil Wheaton and internet sensation Ashly Burch.",Iridium Studios,Iridium Studios,"Strategy, Real-Time",Teen
https://www.gamespot.com/games/dragon-ball-xenoverse/,Dragon Ball: Xenoverse,"Feb 24, 2015","PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One","Developed by famed Osaka-based Japanese videogame developer Dimps (the team behind the fan favorite Dragon Ball Z: Budokai series); Dragon Ball XENOVERSE will be the first Dragon Ball game to make its way to the new generation of consoles with all the epic battles fans have come to expect between Goku and his most feared enemies; Vegeta, Frieza, Cell and many others, with brand new gameplay design.  Dragon Ball XENOVERSE will take the beloved universe from series’ creator Akira Toriyama by storm and break tradition with a new world setup, a mysterious city, a mysterious fighter and other amazing features to be announced in the future.","Dimps Corporation, Bandai Namco Games",Bandai Namco Games,"3D, Action, Fighting",Teen
https://www.gamespot.com/games/helldivers/,Helldivers,"Mar 3, 2015","PC, PlayStation 3, PlayStation 4, PlayStation Vita","Helldivers is a top-down squad shooter set in a dystopian future where you fight to protect Super Earth, where a managed democracy has blurred the lines between military and government rule.",Arrowhead Game Studios,"PlayStation Mobile Inc., SCEI, SCEA, SCE Australia, SCEE, Sony Interactive Entertainment","Action, Fixed-Screen, Shooter, 2D",Teen
